userEmail,camperCode,startDate,endDate,totalPrice,status
arnau.molina@gmail.com,CAMPER_01,2026-06-10,2026-06-15,665,confirmed
judit.vidal@gmail.com,CAMPER_02,2026-06-12,2026-06-16,475,confirmed
hector.salvat@gmail.com,CAMPER_03,2026-06-15,2026-06-22,840,confirmed
mireia.comas@gmail.com,CAMPER_04,2026-06-18,2026-06-21,315,confirmed
xavier.rios@gmail.com,CAMPER_05,2026-06-20,2026-06-27,770,confirmed
sara.navarro@gmail.com,CAMPER_06,2026-07-01,2026-07-05,520,confirmed
joan.marti@gmail.com,CAMPER_07,2026-07-03,2026-07-10,660,confirmed
cristina.soto@gmail.com,CAMPER_08,2026-07-05,2026-07-09,370,confirmed
marc.soler@gmail.com,CAMPER_09,2026-07-08,2026-07-12,390,confirmed
berta.coll@gmail.com,CAMPER_10,2026-07-10,2026-07-17,990,confirmed
pol.alvarez@gmail.com,CAMPER_11,2026-07-12,2026-07-15,280,confirmed
nuria.sole@gmail.com,CAMPER_12,2026-07-15,2026-07-19,410,confirmed
carles.roca@gmail.com,CAMPER_13,2026-07-18,2026-07-21,185,confirmed
anna.font@gmail.com,CAMPER_14,2026-07-20,2026-07-25,425,confirmed
david.serra@gmail.com,CAMPER_15,2026-07-22,2026-07-26,390,confirmed
clara.costa@gmail.com,CAMPER_16,2026-07-25,2026-07-30,450,confirmed
albert.bosch@gmail.com,CAMPER_17,2026-08-01,2026-08-08,735,confirmed
silvia.mas@gmail.com,CAMPER_18,2026-08-03,2026-08-06,230,confirmed
oriol.perez@gmail.com,CAMPER_19,2026-08-05,2026-08-12,1100,confirmed
gemma.grau@gmail.com,CAMPER_20,2026-08-08,2026-08-12,280,confirmed
roger.gomez@gmail.com,CAMPER_21,2026-08-10,2026-08-15,505,confirmed
elena.torres@gmail.com,CAMPER_22,2026-08-12,2026-08-18,665,confirmed
pau.casals@gmail.com,CAMPER_23,2026-08-15,2026-08-20,530,confirmed
marina.pons@gmail.com,CAMPER_24,2026-08-18,2026-08-22,325,confirmed
sergi.morera@gmail.com,CAMPER_25,2026-08-20,2026-08-25,455,confirmed
laura.pages@gmail.com,CAMPER_26,2026-10-22,2026-10-25,265,pending
arnau.molina@gmail.com,CAMPER_27,2026-10-25,2026-10-30,615,pending
judit.vidal@gmail.com,CAMPER_28,2026-10-01,2026-10-05,365,pending
hector.salvat@gmail.com,CAMPER_29,2026-09-05,2026-09-10,480,cancelled
mireia.comas@gmail.com,CAMPER_30,2026-09-10,2026-09-13,250,cancelled
